Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
Compulsion,3.8,-2016,"Drama, Fantasy, Horror",,['Craig Goodwill'],"['Analeigh Tipton', 'Marta Gastini', 'Jakob Cedergren', 'Valentin Merlet']","After a fight with her boyfriend, successful female erotic novelist on a book tour in Europe joins her ex and his female friend, with whom she falls madly in love, for a party at a castle owned by a dangerous cult."
Fantastic Beasts and Where to Find Them,7.4,-2016,"Adventure, Family, Fantasy",PG-13,['David Yates'],"['Eddie Redmayne', 'Katherine Waterston', 'Alison Sudol', 'Dan Fogler']",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Deadpool,8,-2016,"Action, Adventure, Comedy",R,['Tim Miller'],"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']",A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
Captain America: Civil War,7.8,-2016,"Action, Adventure, Sci-Fi",PG-13,"['Anthony Russo', 'Joe Russo']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']",Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.
Suicide Squad,6.1,-2016,"Action, Adventure, Fantasy",PG-13,['David Ayer'],"['Will Smith', 'Jared Leto', 'Margot Robbie', 'Viola Davis']",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
Leap!,6.8,-2016,"Animation, Adventure, Comedy",PG,"['Eric Summer', '\xc3\x89ric Warin', 'Mimi Maynard', 'Paulette Victor-Lifton']","['Elle Fanning', 'Dane DeHaan', 'Carly Rae Jepsen', 'Maddie Ziegler']","An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house."
Moana,7.6,(I) (2016),"Animation, Adventure, Comedy",PG,"['Ron Clements', 'John Musker', 'Don Hall', 'Chris Williams']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison']","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
Split,7.3,(IX) (2016),"Horror, Thriller",PG-13,['M. Night Shyamalan'],"['James McAvoy', 'Anya Taylor-Joy', 'Haley Lu Richardson', 'Jessica Sula']",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Zootopia,8,-2016,"Animation, Adventure, Comedy",PG,"['Byron Howard', 'Rich Moore', 'Jared Bush']","['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Sing,7.1,-2016,"Animation, Comedy, Family",PG,"['Garth Jennings', 'Christophe Lourdelet']","['Matthew McConaughey', 'Reese Witherspoon', 'Seth MacFarlane', 'Scarlett Johansson']","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."
The Shape of Water,7.5,-2017,"Adventure, Drama, Fantasy",R,['Guillermo del Toro'],"['Sally Hawkins', 'Octavia Spencer', 'Michael Shannon', 'Doug Jones']","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Jumanji: Welcome to the Jungle,7.1,-2017,"Action, Adventure, Comedy",PG-13,['Jake Kasdan'],"['Dwayne Johnson', 'Karen Gillan', 'Kevin Hart', 'Jack Black']","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
Thor: Ragnarok,8,-2017,"Action, Adventure, Comedy",PG-13,['Taika Waititi'],"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']","Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of ..."
Star Wars: The Last Jedi,7.4,-2017,"Action, Adventure, Fantasy",PG-13,['Rian Johnson'],"['Daisy Ridley', 'John Boyega', 'Mark Hamill', 'Carrie Fisher']","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
"Three Billboards Outside Ebbing, Missouri",8.2,-2017,"Crime, Drama",R,['Martin McDonagh'],"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
The Greatest Showman,7.9,-2017,"Biography, Drama, Musical",PG,['Michael Gracey'],"['Hugh Jackman', 'Michelle Williams', 'Zac Efron', 'Zendaya']","Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
Justice League,6.8,-2017,"Action, Adventure, Fantasy",PG-13,['Zack Snyder'],"['Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller']","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy."
Coco,8.5,(I) (2017),"Animation, Adventure, Comedy",PG,"['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael Garc\xc3\xada Bernal', 'Benjamin Bratt', 'Alanna Ubach']","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Murder on the Orient Express,6.6,-2017,"Crime, Drama, Mystery",PG-13,['Kenneth Branagh'],"['Kenneth Branagh', 'Pen\xc3\xa9lope Cruz', 'Willem Dafoe', 'Judi Dench']","When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case."
"I, Tonya",7.6,-2017,"Biography, Comedy, Drama",R,['Craig Gillespie'],"['Margot Robbie', 'Sebastian Stan', 'Allison Janney', 'Julianne Nicholson']",Competitive ice skater
Veronica,6.3,(I) (2017),"Drama, Horror",TV-MA,['Paco Plaza'],"['Sandra Escacena', 'Bruna Gonz\xc3\xa1lez', 'Claudia Placer', 'Iv\xc3\xa1n Chavero']","Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates."
Call Me by Your Name,8,-2017,"Drama, Romance",R,['Luca Guadagnino'],"['Armie Hammer', 'Timoth\xc3\xa9e Chalamet', 'Michael Stuhlbarg', 'Amira Casar']","In 1980s Italy, a romance blossoms between a seventeen year-old student and the older man hired as his father's research assistant."
Lady Bird,7.6,-2017,"Comedy, Drama",R,['Greta Gerwig'],"['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges']","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California."
Get Out,7.7,(I) (2017),"Horror, Mystery, Thriller",R,['Jordan Peele'],"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Darkest Hour,7.4,-2017,"Biography, Drama, History",PG-13,['Joe Wright'],"['Gary Oldman', 'Lily James', 'Kristin Scott Thomas', 'Ben Mendelsohn']","During the early days of World War II, the fate of Western Europe hangs on the newly-appointed British Prime Minister"
Blade Runner 2049,8.1,-2017,"Drama, Mystery, Sci-Fi",R,['Denis Villeneuve'],"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']","A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years."
Ferdinand,6.7,-2017,"Animation, Adventure, Comedy",PG,['Carlos Saldanha'],"['John Cena', 'Kate McKinnon', 'Bobby Cannavale', 'Jack Gore']","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
Pitch Perfect 3,6,-2017,"Comedy, Music",PG-13,['Trish Sie'],"['Anna Kendrick', 'Rebel Wilson', 'Brittany Snow', 'Anna Camp']","Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices."
Thoroughbreds,7.3,-2017,"Drama, Thriller",R,['Cory Finley'],"['Olivia Cooke', 'Anya Taylor-Joy', 'Anton Yelchin', 'Kaili Vernoff']","Two upper-class teenage girls in suburban Connecticut rekindle their unlikely friendship after years of growing apart. Together, they hatch a plan to solve both of their problems-no matter what the cost."
Wonder Woman,7.5,-2017,"Action, Adventure, Fantasy",PG-13,['Patty Jenkins'],"['Gal Gadot', 'Chris Pine', 'Robin Wright', 'Lucy Davis']","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
Wonder,8,(I) (2017),"Drama, Family",PG,['Stephen Chbosky'],"['Jacob Tremblay', 'Owen Wilson', 'Izabela Vidovic', 'Julia Roberts']","Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters 5th grade, attending a mainstream elementary school for the first time."
Wind River,7.8,-2017,"Crime, Drama, Mystery",R,['Taylor Sheridan'],"['Kelsey Asbille', 'Jeremy Renner', 'Julia Jones', 'Teo Briones']","A veteran tracker with the Fish and Wildlife Service helps to investigate the murder of a young Native American woman, and uses the case as a means of seeking redemption for an earlier act of irresponsibility which ended in tragedy."
Downsizing,5.7,-2017,"Comedy, Drama, Sci-Fi",R,['Alexander Payne'],"['Matt Damon', 'Christoph Waltz', 'Hong Chau', 'Kristen Wiig']","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor."
The Disaster Artist,7.6,-2017,"Biography, Comedy, Drama",R,['James Franco'],"['James Franco', 'Dave Franco', 'Ari Graynor', 'Seth Rogen']",When
Dunkirk,8,-2017,"Action, Drama, History",PG-13,['Christopher Nolan'],"['Fionn Whitehead', 'Barry Keoghan', 'Mark Rylance', 'Tom Hardy']","Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II."
It,7.5,(I) (2017),"Drama, Horror, Thriller",R,['Andy Muschietti'],"['Bill Skarsg\xc3\xa5rd', 'Jaeden Lieberher', 'Finn Wolfhard', 'Sophia Lillis']","In the summer of 1989, a group of bullied kids band together to destroy a shapeshifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
Paddington 2,8,-2017,"Animation, Adventure, Comedy",PG,['Paul King'],"['Ben Whishaw', 'Hugh Grant', 'Hugh Bonneville', 'Sally Hawkins']","Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
Spider-Man: Homecoming,7.5,-2017,"Action, Adventure, Sci-Fi",PG-13,['Jon Watts'],"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei']","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
The Beguiled,6.4,-2017,"Drama, Thriller",R,['Sofia Coppola'],"['Nicole Kidman', 'Kirsten Dunst', 'Elle Fanning', 'Colin Farrell']",The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.
It Comes at Night,6.2,-2017,"Horror, Mystery",R,['Trey Edward Shults'],"['Joel Edgerton', 'Christopher Abbott', 'Carmen Ejogo', 'Riley Keough']","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge."
The Breadwinner,7.6,-2017,"Animation, Drama, Family",PG-13,['Nora Twomey'],"['Saara Chaudry', 'Soma Chhaya', 'Noorin Gulamgaus', 'Laara Sadiq']",A headstrong young girl in Afghanistan disguises herself as a boy in order to provide for her family.
Keep Watching,4.4,-2017,"Horror, Thriller",R,['Sean Carter'],"['Bella Thorne', 'Chandler Riggs', 'Ioan Gruffudd', 'Natalie Martinez']","A family become imprisoned in their home by intruders, who force them to play a life-and-death game, where the mysterious rules become clear as the night unfolds."
Tulip Fever,6.2,-2017,"Drama, Romance",R,['Justin Chadwick'],"['Alicia Vikander', 'Dane DeHaan', ""Jack O'Connell"", 'Holliday Grainger']",An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of 17th century Amsterdam.
Woody Woodpecker,4.3,-2017,"Animation, Comedy, Family",PG,['Alex Zamm'],"['Timothy Omundson', 'Thaila Ayala', 'Eric Bauza', 'Graham Verchere']",The hyperactive red-headed bird enters a turf war with a big city lawyer wanting to tear down his home in an effort to build a house to flip.
Newness,6.4,-2017,"Drama, Romance",,['Drake Doremus'],"['Nicholas Hoult', 'Laia Costa', 'Danny Huston', 'Courtney Eaton']","In contemporary Los Angeles, two millennials navigating a social media-driven hookup culture begin a relationship that pushes both emotional and physical boundaries."
xXx: Return of Xander Cage,5.2,-2017,"Action, Adventure, Thriller",PG-13,['D.J. Caruso'],"['Vin Diesel', 'Donnie Yen', 'Deepika Padukone', 'Kris Wu']","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons."
The Layover,4.7,(I) (2017),Comedy,R,['William H. Macy'],"['Kate Upton', 'Alexandra Daddario', 'Matt Barr', 'Matt Jones']",Two friends on a road trip compete for the affections of a handsome man when their flight is redirected due to a hurricane.
Thelma,7.1,-2017,"Drama, Fantasy, Mystery",Not Rated,['Joachim Trier'],"['Eili Harboe', 'Kaya Wilkins', 'Henrik Rafaelsen', 'Ellen Dorrit Petersen']",A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge as seizures with devastating results.
Bad Match,5.7,-2017,Thriller,TV-MA,['David Chirchirillo'],"['Noureen DeWulf', 'Lili Simmons', 'Jack Cutmore-Scott', 'Brandon Scott']",An internet-dating playboy's life spirals out of control after meeting a woman online.
Mark Felt: The Man Who Brought Down the White House,6.4,-2017,"Biography, Drama, History",PG-13,['Peter Landesman'],"['Liam Neeson', 'Diane Lane', 'Marton Csokas', 'Tony Goldwyn']",The story of
1922,6.3,-2017,"Crime, Drama, Mystery",TV-MA,['Zak Hilditch'],"['Thomas Jane', 'Molly Parker', 'Dylan Schmid', 'Kaitlyn Bernard']","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to participate."
Stronger,7,(I) (2017),"Biography, Drama",R,['David Gordon Green'],"['Jake Gyllenhaal', 'Tatiana Maslany', 'Miranda Richardson', 'Richard Lane Jr.']","Stronger is the inspiring real life story of Jeff Bauman, an ordinary man who captured the hearts of his city and the world to become a symbol of hope after surviving the 2013 Boston Marathon bombing."
The Changeover,5.6,-2017,Thriller,,"['Miranda Harcourt', 'Stuart McKenzie']","['Timothy Spall', 'Melanie Lynskey', 'Lucy Lawless', 'Nicholas Galitzine']",Based on the Carnegie Medal winning novel by Margeret Mahy. Sixteen year-old Laura Chant lives with her mother and four-year-old brother Jacko in a poor new suburb on the edge of a ...
The Man Who Invented Christmas,7,-2017,"Biography, Comedy, Drama",PG,['Bharat Nalluri'],"['Dan Stevens', 'Mark Schrier', 'Patrick Joseph Byrnes', 'Miriam Margolyes']","The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas."
Nails,4.6,(I) (2017),Horror,,['Dennis Bartok'],"['Shauna Macdonald', 'Steve Wall', 'Leah McNamara', 'Ross Noble']","Paralyzed after a terrible accident, Dana struggles to regain her life and family when she encounters a malevolent ghost in her hospital room."
Papillon,6.4,(I) (2017),"Biography, Crime, Drama",R,['Michael Noer'],"['Charlie Hunnam', 'Tommy Flanagan', 'Rami Malek', 'Andre Flynn']",A prisoner detained on a remote island plots his escape. A remake of the 1973 film 'Papillon'.
All I Wish,5.5,-2017,"Comedy, Drama",,['Susan Walter'],"['Sharon Stone', 'Tony Goldwyn', 'Ellen Burstyn', 'Liza Lapira']","An aspiring fashion designer struggles to find success and love. The story cuts into her life once a year, always on the same date: her birthday."
Before I Fall,6.4,-2017,"Drama, Mystery",PG-13,['Ry Russo-Young'],"['Zoey Deutch', 'Halston Sage', 'Cynthy Wu', 'Medalion Rahimi']","February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over and over, Sam untangles the mystery around her death and discovers everything she's losing."
The Glass Castle,7.1,-2017,"Biography, Drama",PG-13,['Destin Daniel Cretton'],"['Brie Larson', 'Woody Harrelson', 'Naomi Watts', 'Ella Anderson']",A young girl comes of age in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.
T2 Trainspotting,7.3,-2017,Drama,R,['Danny Boyle'],"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Robert Carlyle']","After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie."
The LEGO Ninjago Movie,6,-2017,"Animation, Action, Adventure",PG,"['Charlie Bean', 'Paul Fisher', 'Bob Logan']","['Jackie Chan', 'Dave Franco', 'Fred Armisen', 'Kumail Nanjiani']","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas."
Sweet Country,7.4,-2017,"Adventure, Crime, Drama",R,['Warwick Thornton'],"['Bryan Brown', 'Matt Day', 'Tremayne Doolan', 'Trevon Doolan']","Australian western set on the Northern Territory frontier in the 1920s, where justice itself is put on trial when an aged Aboriginal farmhand shoots a white man in self defense and goes on the run as posse gathers to hunt him down."
Gemini,6.2,(II) (2017),"Mystery, Thriller",R,['Aaron Katz'],"['Lola Kirke', 'Zo\xc3\xab Kravitz', 'John Cho', 'Greta Lee']","A heinous crime tests the complex relationship between a tenacious personal assistant and her Hollywood starlet boss. As the assistant unravels the mystery, she must confront her own understanding of friendship, truth, and celebrity."
The Ballad of Lefty Brown,6.2,-2017,Western,R,['Jared Moshe'],"['Bill Pullman', 'Tommy Flanagan', 'Peter Fonda', 'Kathy Baker']","A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice."
Big Bear,4.9,-2017,Comedy,TV-MA,['Joey Kern'],"['Pablo Schreiber', 'Adam Brody', 'Tyler Labine', ""Ahna O'Reilly""]",BIG BEAR is about Joe (Joey Kern) who reluctantly has his bachelor party even though his fianc̩ just dumped him for some Dude (recent Emmy nominated. Pablo Schreiber).
Loving Pablo,5.8,-2017,"Biography, Crime, Drama",R,['Fernando Le\xc3\xb3n de Aranoa'],"['Pen\xc3\xa9lope Cruz', 'Peter Sarsgaard', 'Javier Bardem', '\xc3\x93scar Jaenada']",A journalist strikes up a romantic relationship with notorious drug lord Pablo Escobar.
Thank You for Your Service,6.5,(I) (2017),"Biography, Drama, War",R,['Jason Hall'],"['Miles Teller', 'Beulah Koale', 'Joe Cole', 'Scott Haze']","A group of U.S. soldiers returning from Iraq struggle to integrate back into family and civilian life, while living with the memory of a war that threatens to destroy them long after they've left the battlefield."
On Chesil Beach,6.5,-2017,"Drama, Romance",,['Dominic Cooke'],"['Saoirse Ronan', 'Emily Watson', 'Samuel West', 'Anne-Marie Duff']","Based on Ian McEwan's novel. In 1962 England, a young couple find their idyllic romance colliding with issues of sexual freedom and societal pressure, leading to an awkward and fateful wedding night."
Kidnap,5.9,-2017,"Action, Crime, Drama",R,['Luis Prieto'],"['Halle Berry', 'Sage Correa', 'Chris McGinn', 'Lew Temple']",A mother stops at nothing to recover her kidnapped son.
Captain Underpants: The First Epic Movie,6.2,-2017,"Animation, Action, Comedy",PG,['David Soren'],"['Kevin Hart', 'Thomas Middleditch', 'Ed Helms', 'Nick Kroll']","2 overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants."
True to the Game,5.1,-2017,Drama,R,['Preston A. Whitmore II'],"['Erica Peeples', 'Misan Akuya', 'George Arvanitidis', 'Stanley R. Atwater']",A charismatic drug lord tries to start a new life after he falls for a young woman from Philadelphia.
The Meyerowitz Stories (New and Selected),7,-2017,"Comedy, Drama",TV-MA,['Noah Baumbach'],"['Adam Sandler', 'Grace Van Patten', 'Dustin Hoffman', 'Elizabeth Marvel']",An estranged family gathers together in New York for an event celebrating the artistic work of their father.
Lucky,7.4,-2017,"Comedy, Drama",Not Rated,['John Carroll Lynch'],"['Harry Dean Stanton', 'David Lynch', 'Ron Livingston', 'Ed Begley Jr.']",The spiritual journey of a ninety-year-old atheist.
My Little Pony: The Movie,6.2,-2017,"Animation, Adventure, Comedy",PG,['Jayson Thiessen'],"['Emily Blunt', 'Kristin Chenoweth', 'Liev Schreiber', 'Michael Pe\xc3\xb1a']","After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland."
Leatherface,5,-2017,"Horror, Thriller",R,"['Alexandre Bustillo', 'Julien Maury']","['Stephen Dorff', 'Lili Taylor', 'Sam Strike', 'Vanessa Grasse']","A teenage Leatherface escapes from a mental hospital with three other inmates, kidnapping a young nurse and taking her on a road trip from hell, while being pursued by a lawman out for revenge."
The Man with the Iron Heart,6.4,-2017,"Action, Biography, Thriller",R,['C\xc3\xa9dric Jimenez'],"['Rosamund Pike', 'Noah Jupe', ""Jack O'Connell"", 'Mia Wasikowska']","As the German Fascists expand their borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare for a suicide mission to assassinate Reinhard Heydrich, the hideous mastermind behind the ""Final Solution""."
Sleepless,5.6,(III) (2017),"Action, Crime, Thriller",R,['Baran bo Odar'],"['Jamie Foxx', 'Michelle Monaghan', 'Dermot Mulroney', 'Gabrielle Union']",A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.
Forgotten,7.2,-2017,"Mystery, Thriller",,['Hang-jun Zhang'],"['Ha-Neul Kang', 'Mu-Yeol Kim', 'Seong-kun Mun', 'Young-hee Na']","Jin-Seok (Kang Ha-Neul) moves into a new home with his older brother Yoo-Seok (Kim Moo-Yul), mother (Na Young-Hee) and father (Moon Sung-Geun). Jin-Seok suffers from hypersensitivity, but ..."
A Dog's Purpose,6.9,-2017,"Adventure, Comedy, Drama",PG,['Lasse Hallstr\xc3\xb6m'],"['Josh Gad', 'Dennis Quaid', 'Peggy Lipton', 'Bryce Gheisar']",A dog looks to discover his purpose in life over the course of several lifetimes and owners.
24 Hours to Live,5.7,-2017,"Action, Sci-Fi, Thriller",R,['Brian Smrz'],"['Paul Anderson', 'Ethan Hawke', 'Rutger Hauer', 'Liam Cunningham']",An assassin seeks redemption after being given a second chance at life.
The Book of Henry,6.5,-2017,"Crime, Drama, Thriller",PG-13,['Colin Trevorrow'],"['Naomi Watts', 'Jaeden Lieberher', 'Jacob Tremblay', 'Sarah Silverman']","With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather."
Bomb City,7.2,-2017,"Action, Crime, Drama",TV-MA,['Jameson Brooks'],"['Dave Davis', 'Glenn Morshower', 'Logan Huffman', 'Lorelei Linklater']","A crime-drama, about the cultural aversion of a group of punk rockers in a conservative Texas town. Their ongoing battle with a rival, more-affluent clique leads to a controversial hate crime that questions the morality of American justice."
Unlocked,6.2,(I) (2017),"Action, Drama, Mystery",R,['Michael Apted'],"['Noomi Rapace', 'Orlando Bloom', 'Toni Collette', 'John Malkovich']",A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.
Aftermath,5.7,(IV) (2017),"Drama, Thriller",R,['Elliott Lester'],"['Arnold Schwarzenegger', 'Scoot McNairy', 'Maggie Grace', 'Judah Nelson']",Two strangers' lives become inextricably bound together after a devastating plane crash.
November Criminals,5.2,-2017,"Crime, Drama, Mystery",PG-13,['Sacha Gervasi'],"['Chlo\xc3\xab Grace Moretz', 'Ansel Elgort', 'Catherine Keener', 'David Strathairn']","After his friend is murdered, a Washington, D.C. teenager undertakes his own investigation of the crime."
War Machine,6,-2017,"Comedy, Drama, War",TV-MA,['David Mich\xc3\xb4d'],"['Brad Pitt', 'Daniel Betts', 'John Magaro', 'Emory Cohen']","An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuild operation in Afghanistan."
Krystal,4.3,-2017,"Comedy, Drama",R,['William H. Macy'],"['Nick Robinson', 'Rosario Dawson', 'William H. Macy', 'Grant Gustin']",A young man living a sheltered life develops a crush on a stripper and joins her Alcoholics Anonymous group just so he can be in the same room with her.
Doctor Strange,7.5,-2016,"Action, Adventure, Fantasy",PG-13,['Scott Derrickson'],"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong']","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
Batman v Superman: Dawn of Justice,6.6,-2016,"Action, Adventure, Fantasy",PG-13,['Zack Snyder'],"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg']","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
La La Land,8.1,(I) (2016),"Comedy, Drama, Music",PG-13,['Damien Chazelle'],"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Rogue One: A Star Wars Story,7.8,-2016,"Action, Adventure, Sci-Fi",PG-13,['Gareth Edwards'],"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen']",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.
The Jungle Book,7.5,-2016,"Adventure, Drama, Family",PG,['Jon Favreau'],"['Neel Sethi', 'Bill Murray', 'Ben Kingsley', 'Idris Elba']","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo."
Patriots Day,7.4,-2016,"Crime, Drama, History",R,['Peter Berg'],"['Mark Wahlberg', 'Michelle Monaghan', 'J.K. Simmons', 'John Goodman']","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."
Moonlight,7.4,(I) (2016),Drama,R,['Barry Jenkins'],"['Mahershala Ali', 'Naomie Harris', 'Trevante Rhodes', 'Alex R. Hibbert']","A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
X-Men: Apocalypse,7,-2016,"Action, Adventure, Sci-Fi",PG-13,['Bryan Singer'],"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult']","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
Hacksaw Ridge,8.2,-2016,"Biography, Drama, History",R,['Mel Gibson'],"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']",WWII American Army Medic
Arrival,7.9,(II) (2016),"Drama, Mystery, Sci-Fi",PG-13,['Denis Villeneuve'],"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']",A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world.
Hidden Figures,7.8,-2016,"Biography, Drama, History",PG,['Theodore Melfi'],"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Mon\xc3\xa1e', 'Kevin Costner']",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Trolls,6.5,-2016,"Animation, Adventure, Comedy",PG,"['Mike Mitchell', 'Walt Dohrn']","['Anna Kendrick', 'Justin Timberlake', 'Zooey Deschanel', 'Christopher Mintz-Plasse']","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
