Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
Towelhead,7,-2007,Drama,R,['Alan Ball'],"['Summer Bishil', 'Aaron Eckhart', 'Peter Macdissi', 'Chris Messina']","A young Arab-American girl struggles with her sexual obsession, a bigoted Army reservist and her strict father during the Gulf War."
Popcorn,5.7,-2007,"Comedy, Romance",,['Darren Paul Fisher'],"['Jack Ryder', 'Jodi Albert', 'Andrew Lee Potts', 'Luke de Woolfson']","Too insecure to approach the girl of his dreams, Danny takes a job at the local multiplex where she works."
Captivity,4.7,-2007,"Crime, Mystery, Thriller",R,['Roland Joff\xc3\xa9'],"['Elisha Cuthbert', 'Daniel Gillies', 'Pruitt Taylor Vince', 'Michael Harney']","A man and a woman awaken to find themselves trapped in a cellar. As their kidnapper drives them mad, the truth about their horrific abduction is revealed."
Margot at the Wedding,6.1,-2007,"Comedy, Drama",R,['Noah Baumbach'],"['Nicole Kidman', 'Jennifer Jason Leigh', 'Flora Cross', 'Zane Pais']","Margot and her son Claude decide to visit her sister Pauline after she announces that she is marrying less-than-impressive Malcolm. In short order, the storm the sisters create leaves behind a mess of thrashed relationships and exposed family secrets."
Who's Your Caddy?,2.1,-2007,"Comedy, Sport",PG-13,['Don Michael Paul'],"['Big Boi', 'Jeffrey Jones', 'Terry Crews', 'Mick Partridge']",When a rap mogul from Atlanta tries to join a conservative country club in the Carolinas he runs into fierce opposition from the board President- but it's nothing that he and his entourage can't handle.
The Savages,7.2,-2007,"Comedy, Drama",R,['Tamara Jenkins'],"['Laura Linney', 'Philip Seymour Hoffman', 'Philip Bosco', 'Peter Friedman']",A sister and brother face the realities of familial responsibility as they begin to care for their ailing father.
Mother of Tears,5.1,-2007,Horror,R,['Dario Argento'],"['Asia Argento', 'Cristian Solimeno', 'Adam James', 'Moran Atias']","Part three of the ""Three Mothers"" trilogy which takes place in Rome and has to do with Mater Lachrymarum (The Third Mother)."
The Nines,6.4,-2007,"Drama, Fantasy, Mystery",R,['John August'],"['Ryan Reynolds', 'Hope Davis', 'Melissa McCarthy', 'Elle Fanning']","A troubled actor, a television show runner, and an acclaimed videogame designer find their lives intertwining in mysterious and unsettling ways."
Daddy Day Camp,3,-2007,"Comedy, Family",PG,['Fred Savage'],"['Cuba Gooding Jr.', 'Lochlyn Munro', 'Richard Gant', 'Tamala Jones']","Seeking to offer his son the satisfying summer camp experience that eluded him as a child, the operator of a neighborhood daycare center opens his own camp, only to face financial hardship and stiff competition from a rival camp."
Trade,7.4,(I) (2007),"Crime, Drama, Thriller",R,['Marco Kreuzpaintner'],"['Kevin Kline', 'Kathleen Gati', 'Paulina Gaitan', 'Cesar Ramos']","Adriana is a 13-year-old girl from Mexico City whose kidnapping by sex traffickers sets in motion a desperate mission by her 17-year-old brother, Jorge, to save her. Trapped and terrified ..."
