id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1903,"White Ribbon, The ( weie Band, Das )",2.84/4,2009,Drama/War,R,Michael Haneke,"Ulrich Tukur, Susanne Lothar, Burghart Klauner","On the cusp on World War I, a small German village is transformed by fear and suspicion as ominous events, centered around the children of the village, take place."
1904,Cloudy with a Chance of Meatballs,2.74/4,2009,Animation/Family,PG,"Phil Lord, Chris Miller","Anna Faris, Bill Hader, Bruce Campbell","Based on the book - a town experiences food-based weather that works well at first, until things get a little out of control."
1905,Paa,3.06/4,2009,Drama,NR,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan",
1906,"Hedgehog, The ( h̩risson, Le )",3.20/4,2009,Comedy/Drama,NR,Mona Achache,"Josiane Balasko, Garance Le Guillermic, Togo Igawa","A quite serious but morose 11-year-old who decides that she will not live beyond her 12th birthday. During the year, she makes observations about life and the people around her. As the final date approaches, she finds kindred spirits in a janitor and an elegant neighbor that may lead her to rethink her outlook on life."
1907,Anvil! The Story of Anvil,2.87/4,2009,Documentary,NR,Sacha Gervasi,"Kevin Goocher, Glenn Gyorffy, Steve 'Lips' Kudlow","Formed by two 14-year-old boys in the 1970s, heavy metal band Anvil influenced the great acts that followed, such as Anthrax and Metallica. This documentary joins Anvil's now middle-aged founders as they recover from a disastrous tour of Europe. Hoping to end their youthful dreams and careers on a high note, Robb Reiner, Steve ""Lips"" Kudlow and the band set out to record their 13th album, ""This Is Thirteen."""
1908,Revanche,2.94/4,2009,Crime/Drama,NR,G̦tz Spielmann,"Johannes Krisch, Irina Potapenko, Andreas Lust",Ex-con Alex plans to flee to the South with his girl after a robbery. But something terrible happens and revenge seems inevitable.
1909,The Proposal,2.71/4,2009,Comedy/Romance,PG-13,Anne Fletcher,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen","Margaret Tate is a hard-nosed executive who is brutal with her assistant. She also happens to be a Canadian whose Visa is about to be revoked. Taking matters into her own hands, she forces her assistant to marry her in order to stay in America."
1910,The Time Traveler's Wife,2.73/4,2009,Drama/Sci-Fi,PG-13,Robert Schwentke,"Eric Bana, Ron Livingston, Rachel McAdams",A story about a librarian named Henry who time travels involuntarily and his relationship with a woman named Claire. Based on the book by Audrey Niffenegger.
1911,X-Men Origins: Wolverine,2.67/4,2009,Action/Fantasy,PG-13,Gavin Hood,"Hugh Jackman, Liev Schreiber, Danny Huston","Before the events of X-Men, the life of Wolverine intertwines romance and violence. Seeking revenge, he joins the Weapon X program in order to track down Victor Creed (Sabertooth) and meets many mutants, some familiar, some new, along the way."
1912,Cell 211 ( Celda 211 ),2.96/4,2009,Action/Drama,NR,Daniel Monz_n,"Luis Tosar, Alberto Ammann, Antonio Resines","An expectant father with a beautiful young wife, takes a job as a guard at a maximum-security prison. Taking a tour of the facility prior to his first day, a riot ensues. Finding himself trapped in the prison under lock-down with no guards around, he is forced to portray himself as a new prisoner to avoid being killed as a prison guard. After making some smart decisions, he is taken under the wings of the rioters and prison gang leaders. He faces a race against time to settle the riot peacefully while trying to understand his place as he starts to align more with his new prisoners than the law."
1913,Voices ( Du saram-yida ),2.96/4,2009,Horror/Thriller,R,Ki-hwan Oh,"Jin-seo Yun, Gi-woong Park, Ki-woo Lee",After a terrible tragedy in her family Ga-in Kim is warned in her dreams that she is the next to die. From the following morning she is not safe from anyone anywhere. Ga-in Kim must now survive long enough to figure out how to break the death curse.
