id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1,Logan Lucky,2.81/4,2017,Comedy,PG-13,Steven Soderbergh,"Channing Tatum, Adam Driver, Riley Keough",A pair of brothers trying to reverse a family curse decide the cure is to pull off an elaborate heist set during the iconic NASCAR Coca-Cola 600 at the Charlotte Motor Speedway.
2,Ingrid Goes West,3.00/4,2017,Comedy/Drama,R,Matt Spicer,"Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson Jr.",A mentally-disturbed woman seeks out a social media sensation but her decision to drop everything and move out West to befriend the seemingly perfect person has unsettling consequences.
3,Columbus,3.10/4,2017,Comedy/Drama,NR,Kogonada,"John Cho, Haley Lu Richardson, Parker Posey","With his architect father in a coma, a young Korean-born man finds himself drifting through Columbus, Indiana. He bonds with a young woman, who is in Columbus in order to care for her recovering addict mother, who is thinking of staying rather than pursue her own dreams."
4,Star Wars: The Last Jedi,2.75/4,2017,Adventure/Fantasy,PG-13,Rian Johnson,"Daisy Ridley, Oscar Isaac, Adam Driver","Rey has tracked down Luke Skywalker after years of isolation and though the former Jedi is reluctant to teach another, he realizes her raw power has consequences for the entire galaxy. Meanwhile, Kylo Ren and the First Order, recovering from the loss of their superweapon, step up their efforts to take down the Resistance, with a recovered Finn, ace pilot Poe Dameron and Resistance leader Leia doing everything in their power to hold their alliance together."
5,American Made,2.78/4,2017,Crime/Thriller,R,Doug Liman,"Tom Cruise, Sarah Wright, Domhnall Gleeson","Based on the true story of Barry Seal - a pilot turned drug runner turned DEA informant who played each side to the high life, before paying the ultimate price."
6,All the Money in the World,2.94/4,2017,Crime/Mystery,R,Ridley Scott,"Mark Wahlberg, Christopher Plummer, Michelle Williams","It is 1973 and J. Paul Getty is the richest man in the world - his fortune built on oil and also his notoriously miserly nature. When his grandson, Paul Getty, is kidnapped by a left-wing paramilitary organization in Italy, he cannot be swayed to part with any of his fortune to placate them. But Gail, Paul's mother, who believes in family over money, will stop at nothing to save her son. With time running out, and the kidnapper's becoming more anxious and brutal, Gail will team up with Fletcher Chace, who runs security for Getty, in order to get her son back."
7,Murder on the Orient Express (2017),2.78/4,2017,Drama/Mystery,PG-13,Kenneth Branagh,"Kenneth Branagh, Johnny Depp, Michelle Pfeiffer","Based on the classic murder-mystery from Agatha Christie - a lavish train ride for the well-to-do turns into something much more when a murder occurs. Thirteen strangers - one culprit and one dashing investigator, Hercule Poirot - everyone claims their innocence but the truth will come out - but will it be soon enough before another murder?"
8,Maudie,3.00/4,2017,Biography/Drama,PG-13,Aisling Walsh,"Ethan Hawke, Sally Hawkins, Kari Matchett","A local fixture in her community, Maudie works as a housekeeper, despite her arthritis, while honing her artistic skills on the side."
9,Loving Vincent,3.00/4,2017,Animation/Biography,PG-13,"Dorota Kobiela, Hugh Welchman","Aidan Turner, Saoirse Ronan, Eleanor Tomlinson",
10,Jumanji: Welcome to the Jungle,2.76/4,2017,Adventure/Fantasy,PG-13,Zach Helm,"Karen Gillan, Dwayne Johnson, Kevin Hart","Four students tasked with cleaning the school basement stumble upon an old gaming system. Hooking it up, the four choose their characters only to be transported into the world of Jumanji where the shy nerd is now a muscled tank, the jock is a puny brainiac, the shy girl is an Amazon warrior and the hottie is a schlubby professor. Together they will brave the wild animals, jungle traps and devious puzzles all in a bid to return to their normal lives."
11,Mother! (2017),2.86/4,2017,Drama,R,Darren Aronofsky,"Jennifer Lawrence, Domhnall Gleeson, Michelle Pfeiffer",A couple finds their lives upended and their relationship put to the ultimate test when an uninvited guest arrives and turns their tranquility in to terror.
12,Okja,2.92/4,2017,Adventure/Drama,NR,Bong Joon Ho,"Tilda Swinton, Paul Dano, Seo-Hyun Ahn",
13,Lady MacBeth,3.00/4,2017,Drama,NR,William Oldroyd,"Christopher Fairbank, Florence Pugh, Cosmo Jarvis","Based on the novella by Nikolai Leskov, Lady MacBeth follows the story of a young bride in the 19th century as she is sold into marriage."
14,Raw,2.93/4,2017,Horror,R,Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella","A young woman who is also a vegetarian is forced to in to participating in a carnivorous hazing ritual. But this act unlocks something buried deep inside, and her craving for meat begins to grow."
15,It Comes at Night,2.88/4,2017,Horror/Mystery,R,Trey Edward Shults,"Joel Edgerton, Riley Keough, Christopher Abbott","An isolated home houses a family as the world faces an unnatural threat. After establishing a tenuous order, with his wife and son, a father faces a new test when a young family shows up seeking refuge. Although the two families work together, paranoia and mistrust begin to build as something inside the father also builds and he realized to save his own family, may cost him everything else."
16,"Roman J Israel, Esq.",3.00/4,2017,Crime/Drama,PG-13,Dan Gilroy,"Denzel Washington, Colin Farrell, Shelley Hennig","The L.A. criminal court system is an overburdened wreck where, more often than not, money plays a more important role than justice. Roman J Israel is a driven, idealistic defense attorney who does his best to navigate this system and make a difference. But a series of events finds him in a crisis, where extreme action must be taken."
17,"Jim & Andy: The Great Beyond - With a Very Special, Contractually Obligated Mention of Tony Clifton",3.08/4,2017,Documentary,NR,Chris Smith,"Jim Carrey, Danny DeVito, Milos Forman",
18,Stronger,2.95/4,2017,Biography/Drama,R,David Gordon Green,"Jake Gyllenhaal, Tatiana Maslany, Clancy Brown","Jeff Bauman was one of several people injured in the 2003 Boston Marathon attack. Despite severe injury, which confined him to a wheelchair, he as adamant in helping police track down the perpetrators while going through a painful recovery."
19,Brawl in Cell Block 99,2.92/4,2017,Action/Crime,NR,S. Craig Zahler,"Jennifer Carpenter, Vince Vaughn, Don Johnson",In a criminals world of dog eat dog the hero descends to his death in high security cell to be on top of his enemies hiding there and to save his new family.
20,Patriots Day,2.83/4,2017,Drama/Historical,R,Peter Berg,"Melissa Benoist, Mark Wahlberg, Michelle Monaghan",Follows the events leading up to and the manhunt following the 2013 bombing at the Boston Marathon.
21,Their Finest,2.85/4,2017,Comedy/Drama,R,Lone Scherfig,"Gemma Arterton, Sam Claflin, Bill Nighy","As WWII plunges Britain in to despair, a desperate film crew decides to boost morale by creating a propaganda film following the devastating Blitzkrieg."
22,The Little Hours,3.33/4,2017,Comedy,R,Jeff Baena,"Alison Brie, Dave Franco, Kate Micucci",
23,The Farthest,3.33/4,2017,Documentary,NR,Emer Reynolds,"John Casani, James F. Bell, Edward Stone",
24,Step,3.33/4,2017,Documentary,PG,Amanda Lipitz,"Paula Dofat, Cori Grainger, Tayla Solomon",Follows four high school senior girls on the step team in inner-city Baltimore as each strives to become the first in their family to attend college while also making their step team a success even as social unrest grips the troubled city.
25,Wonder,2.82/4,2017,Drama,PG,Stephen Chbosky,"Julia Roberts, Jacob Tremblay, Owen Wilson","A young boy born with a facial deformity has lived his life in and out of hospitals for much of his life. When he joins a new school, he is determined to prove his life is more than skin deep and with the support of his loving parents, will do everything to make his life as normal as possible."
26,Mayhem,2.88/4,2017,Action/Horror,NR,Joe Lynch,"Steven Yeun, Samara Weaving, Steven Brand",
27,Colossal,2.71/4,2017,Action/Thriller,R,Nacho Vigalondo,"Dan Stevens, Anne Hathaway, Jason Sudeikis","Gloria spends most of her time drinking - a fact that has caused her boyfriend to break up with her, forcing her out and in to a house left vacant by her parents. While she struggles with a mental breakdown, she becomes convinced she is the cause of a series of catastrophic events."
28,Brimstone (2017),3.00/4,2017,Western/Mystery,R,Martin Koolhoven,"Dakota Fanning, Kit Harington, Carice van Houten",
29,Patti Cake$,3.00/4,2017,Drama,R,Geremy Jasper,"Danielle Macdonald, Bridget Everett, Siddharth Dhananjay","Patricia Dombrowski balances her burdensome family life in New Jersey with an aspiring rap career as Killer P aka Patti Cake$. Her grandmother and only two friends, Jheri and Basterd do all they can to support her while Patti herself shoulders the heavy load that her own mother brings,"
30,The Lost City of Z,2.96/4,2017,Action/Biography,PG-13,James Gray,"Charlie Hunnam, Tom Holland, Robert Pattinson","Based on the true story of British explorer Percy Fawcett who, at the dawn of the 20th century, comes across what he believes is a previously unknown ancient, advanced civilization deep within the Amazon. Despite being ridiculed by the scientific community, Fawcett, along with the support of his aide de camp and wife, returns to the Amazon time and time again to prove his case up until his mysterious disappearance in 1925."
31,Molly's Game,3.04/4,2017,Biography/Drama,R,Aaron Sorkin,"Jessica Chastain, Idris Elba, Kevin Costner","Based on the true story of Molly Bloom, who was many things - an attractive, young woman, a world-class Olympic skier and purveyor of the world's most exclusive high-stakes poker game. Hollywood royalty, sports superstars and business titans all took part in the game - as did the Russian Mob - which brought the FBI down on Molly. With the world seeing nothing but what the tabloids said, she could only count on one person - her defense lawyer Charlie Jaffey, to be her ally and tell her story."
32,Spider-Man: Homecoming,2.88/4,2017,Action/Fantasy,PG-13,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr.","After helping out The Avengers during the events of Civil War, young Peter Parker returns to New York, now under the tutelage of Tony Stark, and finds that returning to a normal life is difficult when you're also Spider-Man. Yet as he comes to terms with being a teen and being a hero, a new villain called Vulture threatens to destroy all he holds dear."
33,Marshall,3.05/4,2017,Biography/Drama,PG-13,Reginald Hudlin,"Dan Stevens, Chadwick Boseman, Josh Gad","Follows the life of a young Thurgood Marshall, as the first African American Supreme Court Justice, while he works on an early case that will be one of the cornerstones of his career."
34,Detroit,2.97/4,2017,Drama/Historical,R,Kathryn Bigelow,"John Krasinski, Kaitlyn Dever, John Boyega","For five days in Detroit, in the summer of 1967, the city faces one of the largest citizen uprisings in modern history following a police raid."
35,The Greatest Showman,2.94/4,2017,Biography/Drama,PG,Michael Gracey,"Rebecca Ferguson, Michelle Williams, Hugh Jackman",A musical that focuses on the life of P.T. Barnum - a man who rose from nothing to create the greatest show on Earth - and delight patrons from around the world.
36,The Meyerowitz Stories (New and Selected),3.00/4,2017,Comedy/Drama,NR,Noah Baumbach,"Adam Sandler, Grace Van Patten, Dustin Hoffman",
37,Megan Leavey,3.00/4,2017,Drama/War,PG-13,Gabriela Cowperthwaite,"Kate Mara, Tom Felton, Bradley Whitford","The true story of a young Marine corporal who is charged with cleaning up a K9 unit following a disciplinary hearing. She forms a strong bond with a particularly aggressive dog, Rex, and turns that bond in to an incredible tour of duty in Iraq where they complete over 100 missions and save countless lives."
38,T2 Trainspotting,2.91/4,2017,Drama,R,Danny Boyle,"Ewan McGregor, Robert Carlyle, Jonny Lee Miller","Mark Renton has spent the past 20 years abroad and is about to return home to Scotland where he will reunite with old friends Sick Boy, Spud and Begbie - and trouble is sure to follow."
39,"Square, The (2017)",3.20/4,2017,Comedy/Drama,R,Ruben stlund,"Claes Bang, Elisabeth Moss, Dominic West","Christian, a curator at a contemporary art museum, a divorced man but devoted father, pragmatic and responsible, gets ready for his next, big project: ""The Square"" an installation dedicated to altruism and the nature of being responsible fellow human. But when his cell phone is stolen, his own nature gets the best of him, driving him to ever more shameful situations. Meanwhile, a PR stunt manages to turn ""The Square"" exhibit into something much different than originally intended, driving Christian, and therefore the museum, into an existential spiral."
40,I Am Not Your Negro,3.67/4,2017,Documentary,PG-13,Raoul Peck,Samuel L. Jackson,"Samuel L. Jackson narrates this documentary in which director Raoul Peck shares the vision of author James Baldwin in a his unfinished novel ""Remember This House"" about race in America focusing on the lives of three of his friends, all who met with death: Martin Luther King Jr., Medgar Evers and Malcolm X."
41,Dunkirk (2017),3.40/4,2017,Drama/Historical,PG-13,Christopher Nolan,"Fionn Whitehead, Mark Rylance, Tom Hardy","After landing at Dunkirk, France during the Battle of France in WWII, a group of Allied soldiers from Belgium, the British Empire, Canada and France find themselves surrounded by the German army. A fierce battle ensues, leading to one of the most daring and miraculous rescues of the war."
42,"Three Billboards Outside Ebbing, Missouri",3.36/4,2017,Comedy/Crime,R,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell","In this darkly comic tale a mother, who is frustrated at the lack of progress following the murder of her daughters months earlier, buys and posts three messages in billboards leading in to town, pointed directly at the well-liked chief of police. When other disparate characters begin to get involved in the proceedings, the grieving mother and Ebbing Police Department really get into it."
43,Coco (2017),3.38/4,2017,Animation/Family,PG,Lee Unkrich,"Anthony Gonzalez, Gael Garc_a Bernal, Benjamin Bratt","Budding musician Miguel wants nothing more than to be like his idol, Ernesto de la Cruz, despite the fact is family has forbidden music. But when he finds himself in the Land of the Dead, he sets off on an adventure that will solve a centuries old mystery, and his families' true origins."
44,Blade Runner 2049,3.27/4,2017,Sci-Fi,R,Denis Villeneuve,"Ryan Gosling, Jared Leto, Mackenzie Davis","Set 30 years following the events in Blade Runner, new LAPD blade runner, officer K, discovers a long-buried secret that could plunge what is left of society into chaos. In order to uncover the truth, he sets out on a mission to track down former blade runner Rick Deckard, who has been MIA for the last 30 years."
45,Your Name. ( Kimi no na wa ),3.35/4,2017,Anime/Drama,PG,Makoto Shinkai,"Rynosuke Kamiki, Mone Kamishiraish, Ry̫ Narita","Two souls who couldn't be any further apart: Mitsuha Miyamizu is a girl living in a small mountain town where she yearns to get away from her small life, her father's electoral campaign and the superstitions that drive the community. Taki Tachiban lives a fast and busy life in Tokyo where he works part time at an Italian restaurant and strives for his dreams of becoming an artist or architect. When the two dream, a celestial bond causes them to switch bodies - and the possibilities and adventure it opens up will change their lives forever."
46,Call Me by Your Name,3.29/4,2017,Drama/Romance,R,Luca Guadagnino,"Amira Casar, Timoth̩e Chalamet, Armie Hammer","In the summer of 1983, 17-year-old Elio Perlman lives a life of sophistication and comfort in Northern Italy. While an old soul in a young man's body, Elio is still innocent, especially when it comes to matters of love. A visiting college graduate student working with his father forms an immediate bond and it will awaken something in him."
47,The Shape of Water,3.19/4,2017,Drama/Fantasy,R,Guillermo del Toro,"Michael Shannon, Octavia Spencer, Doug Jones","Set against the backdrop of the Cold War - Elisa works in a highly classified and isolated secret government facility. Her days are as cold and lonely as the place she works but everything changes when she and her co-worker, Zelda, uncover secret classified experiment."
48,The Killing of a Sacred Deer,3.24/4,2017,Drama/Horror,R,Yorgos Lanthimos,"Barry Keoghan, Nicole Kidman, Alicia Silverstone",A brilliant surgeon and his tranquil domestic life with his wife and two children is thrown in to upheaval with the arrival of a 16-year-old boy - leading the good doctor to make a sacrifice to save himself and his family.
49,Phantom Thread,3.21/4,2017,Drama,R,Paul Thomas Anderson,"Daniel Day-Lewis, Lesley Manville, Camilla Rutherford","In the 1950s London fashion scene, a dress-maker finds himself designing for both high society and the royal family. Based on the true story of Reynolds Woodcock."
50,"Babysitter, The (2017)",3.00/4,2017,Horror/Comedy,NR,McG,"Judah Lewis, Samara Weaving, Robbie Amell","Cole, a bullied, sheltered boy is once again left with a babysitter when his parents leave for the weekend. The awesome Bee seems to be the only person who gets him, even though she seems to be everything he's not. But staying up past he bedtime to find out really goes on reveals a lot more than drinking and partying - like human sacrifice, and when he realizes he's next on the list he must use his wits and find his courage, in order to survive the night."
51,Logan (2017),3.11/4,2017,Action/Fantasy,R,James Mangold,"Hugh Jackman, Dafne Keen, Patrick Stewart","In a bleak future, slowly losing his power of healing, an aged Wolverine, along with an Alzheimer-affected Professor Xavior, must face a deadly adversary - Nathaniel Essex, whose corporation is bent on destroying the world. With seemingly all other mutants extinct, Logan must regain his confidence and help a young girl, Laura Kinney, reach her own potential as a mutant - a clone of Wolverine himself."
52,The Florida Project,3.23/4,2017,Drama,R,Sean Baker,"Brooklynn Prince, Bria Vinaite, Willem Dafoe","A precocious six-year-old and her ragtag group of friends spend their Florida days full of childhood wonder, adventure and endless possibility - meanwhile, the adults in their lives struggle to merely get by."
53,"I, Tonya",3.19/4,2017,Biography/Drama,R,Craig Gillespie,"Margot Robbie, Sebastian Stan, Bobby Cannavale","From an early age, Tonya Harding seemed destined for skating glory, putting in the work and time necessary to hone her skills. But her rising star in U.S. Figure Skating is threatened when her ex-husband becomes involved."
54,Get Out,3.12/4,2017,Horror,R,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener","A young African-American male has been dating his Caucasian girlfriend and both decide to visit her parents - who are unaware of his race. Once there, things begin to get strange."
55,"Ghost Story, A (2017)",3.20/4,2017,Drama/Fantasy,R,David Lowery,"Casey Affleck, Rooney Mara, Kesha","Life, loss, love and legacy - a recently deceased man reappears as a white-sheeted ghost, hoping to comfort his bereft wife in their suburban home."
56,Wind River,3.15/4,2017,Crime/Drama,R,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene","When a murder occurs on a Native American Reservations, an FBI agent teams up with a local veteran game tracker in order to solve the crime."
57,Baby Driver,3.10/4,2017,Comedy/Crime,R,Edgar Wright,"Lily James, Ansel Elgort, Jon Bernthal","A young getaway driver finds himself coerced into working with a crime boss. His first job may be his last, however, when the heist he gets involved with looks doomed to fail."
58,"Salesman, The ( Forushande )",3.27/4,2017,Drama/Thriller,PG-13,Asghar Farhadi,"Shahab Hosseini, Taraneh Alidoosti, Babak Karimi","An Iranian couple are forced out of their crumbling apartment and must find new accommodations. Both are also rehearsing for an upcoming production of  Death of a Salesman. Their new apartment, unknown to them, was the former home of a lady of the night - one with many clients. When the wife is alone and a client comes calling - it has a chilling affect on their lives and relationship."
59,In This Corner of the World ( Kono sekai no katasumi ni ),3.36/4,2017,Anime/Drama,PG-13,Sunao Katabuchi,"Non - Rena Nounen, Megumi Han, Yoshimasa Hosoya","In 1935 Suzu lives with her family in Eba, a town in Hiroshima, where her artistic talent is allowed to flourish. All that changes when she finds herself suddenly married as a teen, whisked off to Kure where she falls in to a daily routine of cleaning, mending and cooking. As war looms over Japan, Suzu finds living a normal life becomes more and more difficult as food rationing and air raids disrupt her life. Through hardships both physical and emotional, Suzu determinedly soldiers on."
60,The Big Sick,3.13/4,2017,Comedy/Romance,R,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter","After taking the next step in their relationship, a couple must figure out how to best deal with their cultural differences as their families get involved."
61,Blade of the Immortal ( Mugen no jnin ),3.00/4,2017,Action/Drama,R,Takashi Miike,"Takuya Kimura, Hana Sugisaki, S̫ta Fukushi","After his sister is murdered, Manji, a skilled samurai, goes on a quest for vengeance, slaughtering countless other samurai before a nun curses him with immortality. Decades later, he meets a young girl who is also on a quest to avenge the murder of her family. Reminded of his sister, Manji agrees to help her and finds himself up against a master swordsman and his powerful group, who wan to take over all dojos."
62,LBJ,3.00/4,2017,Biography/Drama,R,Rob Reiner,"Woody Harrelson, Jennifer Jason Leigh, C. Thomas Howell","When an assassin's bullet took the life of President John F. Kennedy in November of 1963, Vice President Lyndon B. Johnson found himself sworn in as the 36th president of the United States. But his story began long before that - through both victories and defeats, but his true legacy would be battling opposition both from within his own party and across the aisle, resulting in the passing of the landmark Civil Rights Act."
63,Beauty and the Beast (2017),2.66/4,2017,Fantasy/Musical,PG,Bill Condon,"Dan Stevens, Emma Watson, Luke Evans","The classic fairy tale comes to life: a young woman finds herself in a fantastical castle that is ruled by a prince-turned-beast. If he cannot find love, the curse that has transformed him will become permanent."
64,Kong: Skull Island,2.64/4,2017,Adventure/Fantasy,PG-13,Jordan Vogt-Roberts,"Tom Hiddleston, Brie Larson, Toby Kebbell","During the early 70s, on an uncharted island in the Pacific Ocean, a group of soldiers and explorers come across several dangerous creatures, including Kong, the king of the island."
65,Pirates of the Caribbean: Dead Men Tell No Tales,2.68/4,2017,Action/Adventure,PG-13,"Joachim Rnning, Espen Sandberg","Johnny Depp, Javier Bardem, Brenton Thwaites","Captain Jack Sparrow's luck may have finally run out. His long-time rival, Captain Salazar, has found a way to escape from the Devil's Triangle and his ghostly crew is determined to kill every pirate at sea - with Sparrow at the top of his list. Gathering his friends, Sparrow's only hope lies in finding the legendary artifact, the Trident of Poseidon, said to give the owner total control over the sea."
66,Happy Death Day,2.73/4,2017,Horror/Mystery,PG-13,Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine",Tree Gelbman has been murdered. But the college student finds herself reliving the same day over and over again and the only way out is to find out who is killing her... and why.
67,Better Watch Out,2.78/4,2017,Horror/Thriller,R,Chris Peckover,"Patrick Warburton, Virginia Madsen, Olivia DeJonge","On a quiet, suburban street, a babysitter for a 12-year-old finds herself dealing with a home invasion. As she does everything she can to protect her charge, it soon becomes apparent there is something more to this attack than a simple home invasion."
68,Free Fire,2.70/4,2017,Action/Crime,R,Ben Wheatley,"Cillian Murphy, Sam Riley, Brie Larson","Boston, 1978 - Two rival gangs find themselves drawn to the same deserted warehouse, which, in short time, turns in to a shootout and a fight for survival."
69,A Cure for Wellness,2.65/4,2017,Drama/Horror,R,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Celia Imrie","A young, idealistic executive is sent on assignment to retrieve their absent CEO from a ""wellness center"" located in a remote location in the Swiss Alps. Upon arriving, he can't shake the feeling that something is off about the spa's miraculous healing powers. But he finds himself shaken and questioning his sanity when he comes down with the same illness that keeps all the other guests there, hoping for a cure."
70,Kingsman: The Golden Circle,2.61/4,2017,Action/Comedy,R,Matthew Vaughn,"Taron Egerton, Julianne Moore, Mark Strong","The Gentleman's Spy agency The Kingsman suffers an attack that leaves their headquarters destroyed and the world held hostage. All is not lost, however, as the British agency learns of a second secret agency in the United States. The two elite groups will have to come together in order to bring down a common, and very deadly, threat."
71,Alien: Covenant,2.53/4,2017,Adventure/Sci-Fi,R,Ridley Scott,"Michael Fassbender, Katherine Waterston, Danny McBride","The colony ship Covenant is on a mission to a remote planet on the far side of the galaxy. Landing on what they believe to be an idyllic paradise, they instead find a much more dark and dangerous planet - one whose sole inhabitant seems to be David, a synthetic android and seemingly the only survivor of the Prometheus expedition."
72,"Beguiled, The (2017)",2.63/4,2017,Drama/Western,R,Sofia Coppola,"Elle Fanning, Nicole Kidman, Kirsten Dunst",An injured Union soldier is imprisoned in a Confederate girls' boarding school where he uses his charm to seduce and capture the hearts of each lonely girl around him. Soon enough the girls turn on each other - before turning on him.
73,Life (2017),2.55/4,2017,Sci-Fi/Thriller,R,Daniel Espinosa,"Ryan Reynolds, Jake Gyllenhaal, Rebecca Ferguson","An international crew aboard a space station discovers life originating outside of planet Earth, but this ground-breaking discover is soon overshadowed by the fact this new lifeform is far from benign."
74,Justice League,2.53/4,2017,Action/Fantasy,PG-13,Zack Snyder,"Henry Cavill, Ben Affleck, Gal Gadot","Bruce Wayne has been moved by the selfless act of Superman and enlists the aid of Amazonian warrior Diana Prince to form a group of metahumans to thwart a growing threat. Batman, Wonder Woman, Aquaman, The Flash and Cyborg may be the greatest team assembled on Earth, but will they be too late to stop a catastrophic menace that could destroy the planet?"
75,Girls Trip,2.67/4,2017,Comedy,R,Malcolm D. Lee,"Jada Pinkett Smith, Queen Latifah, Regina Hall",Four life-long friends head to The Big Easy for the annual Essence Festival where sisterhood will be renewed while their wild sides are unleashed.
76,"Hero, The (2017)",2.71/4,2017,Comedy/Drama,R,Brett Haley,"Sam Elliott, Laura Prepon, Krysten Ritter",Lee Hayden is an aging actor who comes face-to-face with his mortality as he comes to terms with his past.
77,Hostiles (2017),3.00/4,2017,Drama/Western,R,Scott Cooper,"Christian Bale, Rosamund Pike, Peter Mullan","Set in 1892, highly regarded Capt. Joseph J. Blocker takes on the assignment of escorting Cheyenne Chief Yellow Hawk, along with his family, through hostile territory."
78,The Wizard of Lies,3.00/4,2017,Drama,NR,Barry Levinson,"Robert De Niro, Michelle Pfeiffer, Hank Azaria",
79,Vixen: The Movie,3.00/4,2017,Animation/Action,NR,"James Tucker, Curt Geda","Megalyn Echikunwoke, Stephen Amell, Emily Bett Rickards",
80,Brigsby Bear,2.90/4,2017,Drama,PG-13,Dave McCary,"Mark Hamill, Claire Danes, Kyle Mooney",
81,Victoria & Abdul,2.72/4,2017,Drama,PG-13,Stephen Frears,"Judi Dench, Ali Fazal, Olivia Williams","As Queen Victoria enters the twilight of her reign, she strikes up an unlikely friendship with an Indian clerk, Abdul Karim."
82,Personal Shopper,2.58/4,2017,Drama/Thriller,R,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz","A young woman works as a personal shopper for a celebrity in Paris. At the same time, she is convinced she can communicate with spirits, such as talking to her late twin brother, but things take a dark turn when she begins to receive mysterious messages from an unknown source."
83,"Wall, The (2017)",2.59/4,2017,Thriller/War,R,Doug Liman,"Aaron Taylor-Johnson, John Cena, Laith Nakli",Two snipers face off in a test of will and skill as two American soldiers face off against an Iraqi sniper with a single wall between them.
84,Captain Underpants: The First Epic Movie,2.59/4,2017,Animation/Comedy,PG,David Soren,"Kevin Hart, Ed Helms, Nick Kroll","A pair of mischievous students decide to hypnotize their mean principal and turn him in to their own, personal supehero: Captain Underpants."
85,Live by Night,2.50/4,2017,Crime/Drama,R,Ben Affleck,"Ben Affleck, Zoe Saldana, Elle Fanning","Joe Coughlin, son of a Boston police captain, lives his own life far from the proper upbringing he has long since turned his back on. The era of prohibition is ripe for thrills, notoriety and the perks that come with being part of the premiere underworld scene. But the seedy side of life holds its share of danger - trust is hard ot come by and an early death is all but guaranteed."
86,Gold (2017),2.50/4,2017,Adventure/Drama,R,Stephen Gaghan,"Bryce Dallas Howard, Matthew McConaughey, Edgar Ram_rez",A modern-day prospector and hustler looking for big break teams up with his last hope: an equally luckless geologist in order to track down gold deep within the Indonesian jungles.
87,A United Kingdom,2.64/4,2017,Biography/Drama,PG-13,Amma Asante,"David Oyelowo, Rosamund Pike, Jack Davenport","The Botswana prince, Seretse Khama, causes an international scandal when he marries a white woman from London in the late 1940s."
88,The Zookeeper's Wife,2.54/4,2017,Biography/Drama,PG-13,Niki Caro,"Jessica Chastain, Daniel Br_hl, Johan Heldenbergh","Before WWII, the Warsaw Zoo was under the control of Antonina and Jan Zabinski. As the Nazi invasion started, the pair worked to save both the animals and people from the fascist regime."
89,Atomic Blonde,2.45/4,2017,Action/Thriller,R,David Leitch,"Sofia Boutella, Charlize Theron, James McAvoy",MI6 Agent Lorraine Broughton is as beautiful as she is deadly. At the height of the Cold War another agent is found dead in Berlin. Broughton must join forces with an embedded station chief David Percival in order to smuggle out a priceless dossier.
90,Before I Wake,2.67/4,2017,Horror/Thriller,PG-13,Mike Flanagan,"Kate Bosworth, Annabeth Gish, Thomas Jane",A family must deal with the supernatural fallout when an orphan boy begins to manifest his nightmares and dreams into real life.
91,A Dark Song,3.00/4,2017,Drama/Horror,NR,Liam Gavin,"Mark Huberman, Susan Loughnane, Steve Oram",
92,Band Aid,3.00/4,2017,Comedy,R,Zoe Lister-Jones,"Zoe Lister-Jones, Adam Pally, Fred Armisen","A couple who are constantly fighting are on the verge of finally calling it quits. But, in one last-ditch effort, they embark on a final venture: starting a band and turning their arguments in to their set list."
93,Happy End (2017),3.00/4,2017,Drama,R,Michael Haneke,"Isabelle Huppert, Jean-Louis Trintignant, Mathieu Kassovitz","The film explores the dynamics of a well to do family living in Calais, France on the

landscape of the on going refugee crisis. The film stars Isabelle Huppert as Anne

Laurent, a woman at the head of a construction company, Mathieu Kassovitz as

her brother Thomas, who is having an affair with a cello player, Jean Louis

Trintigant as Georges, the father of both of them, and Fantin Harduin as Eve,

Thomas۪ disturbed daughter who recently lost her mother."
94,The Fate of the Furious,2.48/4,2017,Action/Crime,PG-13,F. Gary Gray,"Vin Diesel, Dwayne Johnson, Michelle Rodriguez","The crew has gone their sepearte ways. Even though Dom has seemingly found a sense of normalcy with Letty, he is seduced by a beautiful woman and enters back in to a life of crime, and, in turn, betraying those closest to him. The most dangerous mission yet - from Cuba to New York to the arctic Barents Sea, is not just to prevent catastrophe, but to bring a man back home who has lost his way."
95,Cars 3,2.47/4,2017,Animation/Comedy,G,Brian Fee,"Owen Wilson, Armie Hammer, Nathan Fillion","A new generation of blazing-fast racers has pushed former champion Lightning McQueen our of the spotlight and out of the sport he loves. In order to get back in the game, McQueen will team up with a whip-smart race technician with her own plan to win, take inspiration from the late Fabulous Hudson Hornet, weather a few unexpected turns and ultimately prove himself back on the Piston Cup Racing circuit."
