,movie_id,genre_id,genre_name
1281,445,2,Thriller
1282,445,6,Drama
1283,446,9,Sci-Fi
1284,446,7,Action
1285,446,5,Adventure
1286,447,14,Fantasy
1287,447,15,Family
1288,447,6,Drama
1289,447,5,Adventure
1290,448,3,Comedy
1291,448,4,Animation
1292,448,5,Adventure
1293,449,7,Action
1294,449,3,Comedy
1295,450,17,Biography
1296,450,6,Drama
1297,451,0,Crime
1298,451,6,Drama
1299,451,7,Action
1300,452,1,Horror
1301,452,9,Sci-Fi
1302,452,7,Action
1303,452,5,Adventure
1304,453,16,Romance
1305,453,14,Fantasy
1306,453,6,Drama
1307,453,5,Adventure
1308,454,8,Mystery
1309,454,2,Thriller
1310,454,6,Drama
1311,455,20,Music
1312,455,18,Musical
1313,455,6,Drama
1314,456,16,Romance
1315,456,14,Fantasy
1316,456,1,Horror
1317,456,6,Drama
1318,457,2,Thriller
1319,457,9,Sci-Fi
1320,457,7,Action
1321,458,4,Animation
1322,458,7,Action
1323,458,5,Adventure
1324,459,16,Romance
1325,459,2,Thriller
1326,459,9,Sci-Fi
1327,460,6,Drama
1328,461,0,Crime
1329,461,7,Action
1330,461,17,Biography
1331,461,6,Drama
1332,462,0,Crime
1333,462,8,Mystery
1334,462,1,Horror
1335,462,6,Drama
1336,463,3,Comedy
1337,463,15,Family
1338,463,7,Action
1339,463,5,Adventure
1340,464,15,Family
1341,464,4,Animation
1342,464,5,Adventure
1343,465,3,Comedy
1344,466,0,Crime
1345,466,1,Horror
1346,466,7,Action
1347,466,3,Comedy
1348,467,14,Fantasy
1349,467,7,Action
1350,467,5,Adventure
1351,468,12,War
1352,468,7,Action
1353,468,6,Drama
1354,468,5,Adventure
1355,469,6,Drama
1356,469,8,Mystery
1357,469,7,Action
1358,469,14,Fantasy
1359,470,3,Comedy
1360,470,4,Animation
1361,470,5,Adventure
1362,471,9,Sci-Fi
1363,471,7,Action
1364,471,5,Adventure
1365,472,0,Crime
1366,472,7,Action
1367,472,5,Adventure
1368,473,3,Comedy
1369,473,15,Family
1370,473,4,Animation
1371,473,5,Adventure
1372,474,14,Fantasy
1373,474,2,Thriller
1374,474,6,Drama
1375,475,0,Crime
1376,475,17,Biography
1377,475,6,Drama
1378,476,14,Fantasy
1379,476,9,Sci-Fi
1380,476,7,Action
1381,476,5,Adventure
1382,477,4,Animation
1383,477,7,Action
1384,477,5,Adventure
1385,478,15,Family
1386,478,3,Comedy
1387,479,0,Crime
1388,479,2,Thriller
1389,479,3,Comedy
1390,480,0,Crime
1391,480,2,Thriller
1392,480,7,Action
1393,480,3,Comedy
1394,481,8,Mystery
1395,481,2,Thriller
1396,481,6,Drama
1397,482,19,Sport
1398,482,17,Biography
1399,482,6,Drama
1400,483,17,Biography
1401,483,6,Drama
1402,483,5,Adventure
1403,484,20,Music
1404,484,16,Romance
1405,484,6,Drama
1406,485,16,Romance
1407,485,6,Drama
1408,485,3,Comedy
1409,486,1,Horror
1410,486,7,Action
1411,486,3,Comedy
1412,487,0,Crime
1413,487,10,History
1414,487,2,Thriller
1415,487,7,Action
1416,488,16,Romance
1417,488,6,Drama
1418,489,8,Mystery
1419,489,2,Thriller
1420,489,6,Drama
1421,490,6,Drama
1422,490,14,Fantasy
1423,490,7,Action
1424,491,3,Comedy
1425,492,14,Fantasy
1426,492,2,Thriller
1427,492,9,Sci-Fi
1428,492,7,Action
1429,493,0,Crime
1430,493,6,Drama
1431,493,7,Action
1432,494,8,Mystery
1433,494,1,Horror
1434,494,2,Thriller
1435,495,17,Biography
1436,495,6,Drama
1437,496,16,Romance
1438,496,6,Drama
1439,496,3,Comedy
1440,497,6,Drama
1441,497,3,Comedy
1442,498,14,Fantasy
1443,498,15,Family
1444,498,6,Drama
1445,498,3,Comedy
1446,499,6,Drama
1447,499,17,Biography
1448,499,7,Action
1449,500,2,Thriller
1450,500,17,Biography
1451,500,6,Drama
1452,501,0,Crime
1453,501,6,Drama
1454,502,1,Horror
1455,502,7,Action
1456,502,5,Adventure
1457,503,8,Mystery
1458,503,1,Horror
1459,504,2,Thriller
1460,504,9,Sci-Fi
1461,504,6,Drama
1462,505,6,Drama
1463,505,7,Action
1464,505,5,Adventure
1465,506,6,Drama
1466,506,1,Horror
1467,506,7,Action
1468,506,5,Adventure
1469,507,0,Crime
1470,507,6,Drama
1471,507,7,Action
1472,508,20,Music
1473,508,6,Drama
1474,508,3,Comedy
1475,509,10,History
1476,509,17,Biography
1477,509,6,Drama
1478,510,3,Comedy
1479,511,0,Crime
1480,511,9,Sci-Fi
1481,511,7,Action
1482,511,8,Mystery
1483,511,2,Thriller
1484,512,0,Crime
1485,512,2,Thriller
1486,512,7,Action
1487,513,15,Family
1488,513,6,Drama
1489,514,16,Romance
1490,514,8,Mystery
1491,514,9,Sci-Fi
1492,514,3,Comedy
1493,515,19,Sport
1494,515,16,Romance
1495,515,3,Comedy
1496,516,6,Drama
1497,516,3,Comedy
1498,517,3,Comedy
1499,518,8,Mystery
1500,518,2,Thriller
1501,518,9,Sci-Fi
1502,518,6,Drama
1503,519,14,Fantasy
1504,519,15,Family
1505,519,5,Adventure
1506,520,6,Drama
1507,520,9,Sci-Fi
1508,520,7,Action
1509,520,5,Adventure
1510,521,0,Crime
1511,521,7,Action
1512,521,3,Comedy
1513,522,3,Comedy
1514,522,14,Fantasy
1515,522,15,Family
1516,522,5,Adventure
1517,523,6,Drama
1518,523,14,Fantasy
1519,523,7,Action
1520,523,5,Adventure
1521,524,16,Romance
1522,524,6,Drama
1523,525,6,Drama
1524,525,3,Comedy
1525,526,1,Horror
1526,526,7,Action
1527,526,2,Thriller
1528,527,6,Drama
1529,528,0,Crime
1530,528,6,Drama
1531,528,7,Action
1532,528,5,Adventure
1533,529,8,Mystery
1534,529,6,Drama
1535,529,5,Adventure
1536,530,0,Crime
1537,530,1,Horror
1538,530,7,Action
1539,530,2,Thriller
1540,531,3,Comedy
1541,531,4,Animation
1542,531,5,Adventure
1543,532,14,Fantasy
1544,532,3,Comedy
1545,533,6,Drama
1546,533,15,Family
1547,533,7,Action
1548,534,0,Crime
1549,534,2,Thriller
1550,534,7,Action
1551,535,19,Sport
1552,535,17,Biography
1553,535,6,Drama
1554,536,8,Mystery
1555,536,6,Drama
1556,537,3,Comedy
1557,537,4,Animation
1558,537,5,Adventure
1559,538,0,Crime
1560,538,16,Romance
1561,538,6,Drama
1562,539,2,Thriller
1563,539,6,Drama
1564,540,8,Mystery
1565,540,9,Sci-Fi
1566,540,7,Action
1567,540,5,Adventure
1568,541,0,Crime
1569,541,9,Sci-Fi
1570,541,7,Action
1571,542,0,Crime
1572,542,8,Mystery
1573,542,2,Thriller
1574,542,6,Drama
1575,543,16,Romance
1576,543,6,Drama
1577,543,3,Comedy
1578,544,6,Drama
1579,544,3,Comedy
1580,545,1,Horror
1581,545,6,Drama
1582,546,16,Romance
1583,546,6,Drama
1584,546,3,Comedy
1585,547,8,Mystery
1586,547,1,Horror
1587,547,7,Action
1588,547,5,Adventure
1589,548,14,Fantasy
1590,548,2,Thriller
1591,548,1,Horror
1592,548,8,Mystery
1593,549,11,Historical
1594,549,10,History
1595,549,17,Biography
1596,549,6,Drama
1597,550,8,Mystery
1598,550,2,Thriller
1599,550,9,Sci-Fi
1600,550,6,Drama
1601,551,4,Animation
1602,551,15,Family
1603,551,6,Drama
1604,551,14,Fantasy
1605,551,5,Adventure
1606,552,3,Comedy
1607,552,15,Family
1608,552,7,Action
1609,552,5,Adventure
1610,553,0,Crime
1611,553,8,Mystery
1612,553,1,Horror
1613,553,2,Thriller
1614,554,12,War
1615,554,3,Comedy
1616,555,0,Crime
1617,555,6,Drama
1618,555,2,Thriller
1619,555,7,Action
1620,556,19,Sport
1621,556,17,Biography
1622,556,6,Drama
1623,557,8,Mystery
1624,557,1,Horror
1625,557,6,Drama
1626,557,2,Thriller
1627,558,3,Comedy
1628,558,1,Horror
1629,558,5,Adventure
1630,559,15,Family
1631,559,6,Drama
1632,560,16,Romance
1633,560,6,Drama
1634,560,3,Comedy
1635,561,1,Horror
1636,561,6,Drama
1637,561,2,Thriller
1638,562,16,Romance
